Título do Projeto;Data de criacao;Estrelas;Linguagem principal;Total de Issues;Total de Issues Abertas;Total de Issues Fechadas;URL do repositorio
explosion/spaCy;03/07/14 15:15:40;17500;Python;4281;147;4134;https://github.com/explosion/spaCy
sebastianruder/NLP-progress;22/06/18 17:43:55;17026;Python;84;20;64;https://github.com/sebastianruder/NLP-progress
microsoft/CNTK;26/11/15 09:52:06;16897;C++;3257;745;2512;https://github.com/microsoft/CNTK
ChristosChristofidis/awesome-deep-learning;02/01/15 19:28:35;16046;None;14;1;13;https://github.com/ChristosChristofidis/awesome-deep-learning
MLEveryday/100-Days-Of-ML-Code;05/08/18 13:32:48;15848;Jupyter Notebook;47;8;39;https://github.com/MLEveryday/100-Days-Of-ML-Code
mozilla/DeepSpeech;02/06/16 15:04:53;15536;C++;1857;75;1782;https://github.com/mozilla/DeepSpeech
datawhalechina/pumpkin-book;22/12/18 05:05:24;15384;None;55;17;38;https://github.com/datawhalechina/pumpkin-book
Developer-Y/cs-video-courses;21/10/16 17:02:11;15382;None;22;3;19;https://github.com/Developer-Y/cs-video-courses
mxgmn/WaveFunctionCollapse;30/09/16 11:53:17;15344;C#;38;0;38;https://github.com/mxgmn/WaveFunctionCollapse
zziz/pwc;02/09/18 12:06:52;14926;None;21;16;5;https://github.com/zziz/pwc
oxford-cs-deepnlp-2017/lectures;06/02/17 11:32:46;14783;None;18;11;7;https://github.com/oxford-cs-deepnlp-2017/lectures
trekhleb/homemade-machine-learning;01/11/18 04:34:19;14574;Jupyter Notebook;18;11;7;https://github.com/trekhleb/homemade-machine-learning
academic/awesome-datascience;05/07/14 07:07:43;14385;None;34;0;34;https://github.com/academic/awesome-datascience
tensorflow/tfjs;05/03/18 05:41:02;14109;TypeScript;2474;435;2039;https://github.com/tensorflow/tfjs
ray-project/ray;25/10/16 19:38:30;13609;Python;4827;1293;3534;https://github.com/ray-project/ray
kailashahirwar/cheatsheets-ai;24/05/17 12:06:56;13558;None;14;6;8;https://github.com/kailashahirwar/cheatsheets-ai
ty4z2008/Qix;20/04/14 11:03:15;13364;None;23;0;23;https://github.com/ty4z2008/Qix
google-research/google-research;04/10/18 18:42:48;13306;Jupyter Notebook;284;190;94;https://github.com/google-research/google-research
PaddlePaddle/Paddle;15/08/16 06:59:08;13139;Python;11392;1412;9980;https://github.com/PaddlePaddle/Paddle
emilwallner/Screenshot-to-code;16/10/17 11:41:48;12885;HTML;48;5;43;https://github.com/emilwallner/Screenshot-to-code
virgili0/Virgilio;12/03/19 18:45:36;12837;Jupyter Notebook;27;8;19;https://github.com/virgili0/Virgilio
zergtant/pytorch-handbook;03/12/18 02:57:04;12821;Jupyter Notebook;62;34;28;https://github.com/zergtant/pytorch-handbook
spmallick/learnopencv;17/02/15 08:00:51;12298;Jupyter Notebook;202;134;68;https://github.com/spmallick/learnopencv
amark/gun;31/07/14 15:52:10;12256;JavaScript;588;176;412;https://github.com/amark/gun
lutzroeder/netron;26/12/10 12:53:43;11751;JavaScript;551;15;536;https://github.com/lutzroeder/netron
microsoft/LightGBM;05/08/16 05:45:50;11695;C++;1899;74;1825;https://github.com/microsoft/LightGBM
streamlit/streamlit;24/08/19 00:14:52;11612;Python;1305;466;839;https://github.com/streamlit/streamlit
RaRe-Technologies/gensim;10/02/11 07:43:04;11283;Python;1533;309;1224;https://github.com/RaRe-Technologies/gensim
keon/awesome-nlp;01/12/15 11:11:33;11106;None;49;1;48;https://github.com/keon/awesome-nlp
